,model,listing_price,trim,reg_date,mileage,transmission,color,car_body,car_engine,car_page_url
4184,Volkswagen Polo,"£14,400",1.2L SE BlueMotion Tech TSI,Mar 2016,"8,781 miles",Automatic,Black,5 door Hatchback,1.2L,https://www.cazoo.co.uk/car-details/919f019d-2f78-5e6f-b276-2dcab4f330e5/
4185,Audi A3,"£14,400",1.6L Sport TDI,Jan 2017,"29,555 miles",Manual,Red,4 door Saloon,1.6L,https://www.cazoo.co.uk/car-details/da027151-c345-5ef3-962f-15410959e5a5/
4186,Renault Megane,"£14,400",1.3L Iconic TCe,Mar 2019,"10,128 miles",Manual,Flame Red,5 door Hatchback,1.3L,https://www.cazoo.co.uk/car-details/b4450ddb-4b3c-5127-b6d4-f4ed40e0e3b0/
4187,Jeep Cherokee,"£14,400",2.2L Limited MultiJetII,Jan 2017,"55,375 miles",Automatic,Billet Metallic Clear Coat,5 door SUV,2.2L,https://www.cazoo.co.uk/car-details/d7dc3111-2f7d-5eb8-adb8-fecc47007699/
4188,Mercedes-Benz C Class,"£14,400",1.6L Sport C200d,Feb 2016,"62,997 miles",Automatic,Silver,4 door Saloon,1.6L,https://www.cazoo.co.uk/car-details/d292dfae-6430-5137-a088-f8a58729776e/
4189,Ford EcoSport,"£14,400",1L Titanium EcoBoost T,Apr 2018,"21,566 miles",Automatic,Grey,5 door SUV,1L,https://www.cazoo.co.uk/car-details/22e2f304-2391-5940-bbad-4c475772348a/
4190,Ford Grand C-Max,"£14,400",1L Titanium EcoBoost T,May 2019,"24,115 miles",Manual,Red,5 door MPV,1L,https://www.cazoo.co.uk/car-details/5a6521f3-1a4e-5da1-8695-0def6c3f6295/
4191,Mercedes-Benz A Class,"£14,400",1.5L A180 Sport A180 CDI,Jun 2015,"18,161 miles",Automatic,Black,5 door Hatchback,1.5L,https://www.cazoo.co.uk/car-details/01f4818a-9b05-5219-96de-132b63accfe3/
4192,Seat Leon,"£14,400",1.5L FR Sport TSI EVO,Jun 2019,"41,146 miles",Manual,Silver,5 door Hatchback,1.5L,https://www.cazoo.co.uk/car-details/d1f59943-ff9f-57b4-8360-bc11eca2a23e/
4193,Nissan X-Trail,"£14,400",1.6L n-tec dCi,Jul 2016,"38,175 miles",Manual,Black,5 door SUV,1.6L,https://www.cazoo.co.uk/car-details/b340ed98-e2b7-5c1d-a3eb-3e67dce5f15f/
4194,Mini Hatch,"£14,400",1.5L Cooper,Nov 2017,"30,391 miles",Automatic,Blazing Red,3 door Hatchback,1.5L,https://www.cazoo.co.uk/car-details/66c0bddd-7a18-5867-84ca-2794c7f3474e/
4195,Volkswagen Polo,"£14,400",1L SE TSI,Apr 2018,"32,996 miles",Automatic,Silver,5 door Hatchback,1L,https://www.cazoo.co.uk/car-details/b7adf779-6b6f-5a7e-b8c4-91d63265dce1/
4196,Mercedes-Benz A Class,"£14,400",1.6L SE A160,Jan 2017,"30,579 miles",Manual,White,5 door Hatchback,1.6L,https://www.cazoo.co.uk/car-details/ff037bfa-5ac4-5bdd-8612-cfded3c2a9cb/
4197,Dacia Duster,"£14,400",1.3L Comfort TCe,Mar 2021,"32,356 miles",Manual,glacier white,5 door SUV,1.3L,https://www.cazoo.co.uk/car-details/d7f5382b-93b2-5a01-b79b-b4757057feb2/
4198,Volkswagen Polo,"£14,400",1.8L GTI BlueMotion Tech TSI,May 2016,"35,773 miles",Manual,Black,3 door Hatchback,1.8L,https://www.cazoo.co.uk/car-details/123f1df5-f5a0-523a-8d44-058c2ae0dc9d/
4199,Seat Ibiza,"£14,400",1L FR TSI,Jul 2019,"2,885 miles",Manual,White,5 door Hatchback,1L,https://www.cazoo.co.uk/car-details/16d8fa62-6851-5202-ae5e-3b81b857bd5e/
4200,Ford Kuga,"£14,400",1.5L Zetec EcoBoost T,Jun 2019,"14,417 miles",Manual,White,5 door SUV,1.5L,https://www.cazoo.co.uk/car-details/8bef2469-5fc5-5966-83fb-b0a7d4477bb5/
4201,Ford EcoSport,"£14,400",1L Titanium EcoBoost T,Apr 2018,"10,567 miles",Automatic,Red,5 door SUV,1L,https://www.cazoo.co.uk/car-details/3446b909-12ee-5115-b1b4-8723f8cdd08e/
4202,Nissan Qashqai,"£14,400",1.5L Acenta Premium dCi,Feb 2019,"12,448 miles",Manual,Blue,5 door SUV,1.5L,https://www.cazoo.co.uk/car-details/568ad85e-f2f1-5dc6-a4bb-31d9cfca99d6/
4203,Ford EcoSport,"£14,400",1L Titanium EcoBoost T,Mar 2019,"23,568 miles",Automatic,Blue,5 door SUV,1L,https://www.cazoo.co.uk/car-details/126f6d60-95e6-5448-a292-d51fbdbaea04/
4204,Ford Kuga,"£14,400",2L Titanium TDCi,Apr 2017,"42,310 miles",Manual,Grey,5 door SUV,2L,https://www.cazoo.co.uk/car-details/d54051a4-5ca6-5e87-9355-065dba512d7b/
4205,Hyundai TUCSON,"£14,400",1.6L SE Nav Blue Drive GDi,Apr 2018,"19,092 miles",Manual,Blue,5 door SUV,1.6L,https://www.cazoo.co.uk/car-details/0f5bf37b-4325-57de-b4d2-c405fae71df3/
4206,Ford Kuga,"£14,400",2L Titanium X TDCi,Jul 2016,"46,483 miles",Automatic,Black,5 door SUV,2L,https://www.cazoo.co.uk/car-details/eb8e9351-ebe7-5020-b0ab-720cccb79c56/
4207,Audi A1,"£14,400",1.4L Sport TFSI,Jul 2018,"20,372 miles",Manual,Black,5 door Hatchback,1.4L,https://www.cazoo.co.uk/car-details/f48ae7f7-34b4-5f06-b9b5-25f551e3334d/
4208,Mitsubishi Eclipse Cross,"£14,400",1.5L 3 T,Sept 2018,"25,021 miles",Manual,White,5 door SUV,1.5L,https://www.cazoo.co.uk/car-details/d3c40f4f-de0f-5cd3-9a28-3207a8cc77c7/
4209,Volkswagen Polo,"£14,400",1L R-Line TSI,Aug 2018,"19,851 miles",Manual,Black,5 door Hatchback,1L,https://www.cazoo.co.uk/car-details/ab37a485-b824-5781-a4d1-bbf38f034d79/
4210,Vauxhall Insignia,"£14,400",1.5L SRi VX Line Nav i Turbo,Apr 2019,"35,691 miles",Automatic,Red,5 door Hatchback,1.5L,https://www.cazoo.co.uk/car-details/2e8eca45-5eb2-507e-942f-cfe683e37b5f/
4211,Jaguar XF,"£14,400",2L R-Sport d,Sept 2016,"51,381 miles",Automatic,Grey,4 door Saloon,2L,https://www.cazoo.co.uk/car-details/1d82dc64-fda7-5eba-9b95-b627e8dbe909/
4212,Hyundai TUCSON,"£14,400",1.6L SE Nav GDi,Sept 2018,"23,479 miles",Manual,Blue,5 door SUV,1.6L,https://www.cazoo.co.uk/car-details/266cd7ed-16d7-591c-bc4b-fe5441ea3d9a/
4213,Volkswagen Polo,"£14,400",1.2L Match Edition TSI,Sept 2017,"9,834 miles",Automatic,White,5 door Hatchback,1.2L,https://www.cazoo.co.uk/car-details/443e24cf-41ee-5c2c-9ecb-953b00e9f809/
