,model,listing_price,trim,reg_date,mileage,transmission,color,car_body,car_engine,car_page_url
0,Audi Q7,"£57,500",3L Black Edition TDI V6,Jun 2021,"12,997 miles",Automatic,Grey,5 door SUV,3L,https://www.cazoo.co.uk/car-details/707a9391-8a7d-5dfc-8465-57942265f31e/
1,Porsche Macan,"£57,000",2L T,Dec 2020,"4,706 miles",Automatic,Silver,5 door SUV,2L,https://www.cazoo.co.uk/car-details/67f69df2-3cdc-5d65-8f64-a7ec2e22852b/
2,Porsche Macan,"£56,350",3L S T V6,Jul 2020,"4,605 miles",Automatic,Grey,5 door SUV,3L,https://www.cazoo.co.uk/car-details/e5f54502-eac1-567b-9468-782d23e18277/
3,Tesla Model 3,"£55,900",Long Range,Dec 2021,"1,614 miles",Automatic,White,4 door Saloon,,https://www.cazoo.co.uk/car-details/ad0e1804-2d48-5b14-a0c2-0aa44fac4e55/
4,Land Rover Range Rover Sport,"£55,550",3L Autobiography Dynamic SD V6,Mar 2018,"26,375 miles",Automatic,Grey,5 door SUV,3L,https://www.cazoo.co.uk/car-details/4a8dc908-5be5-5420-9fb8-e10f631e0b91/
5,Tesla Model 3,"£55,250",Long Range,Sept 2021,"4,815 miles",Automatic,Blue,4 door Saloon,,https://www.cazoo.co.uk/car-details/491ee7ce-4857-58f8-bb86-54525bfe12da/
6,Land Rover Range Rover,"£55,050",3L Vogue SE TD V6,Mar 2018,"34,352 miles",Automatic,Silver,5 door SUV,3L,https://www.cazoo.co.uk/car-details/81ea94b7-e77d-56d1-83ab-f720248d8ba5/
7,Tesla Model 3,"£55,050",Performance,Sept 2021,"9,148 miles",Automatic,White,4 door Saloon,,https://www.cazoo.co.uk/car-details/ba44e9f3-df1c-5dd6-aa29-3870ccdffd64/
8,Tesla Model X,"£54,550",75D,Oct 2017,"36,563 miles",Automatic,Grey,5 door SUV,,https://www.cazoo.co.uk/car-details/9fb6e042-77bc-5ee5-b5e2-686c2e445c29/
9,Mercedes-Benz SL Class,"£54,450",5.5L AMG SL63 V8,Mar 2017,"13,368 miles",Automatic,Black,2 door Convertible,5.5L,https://www.cazoo.co.uk/car-details/a3037e27-d34e-5e12-9eed-eb188e24a93f/
10,Land Rover Range Rover Sport,"£54,200",3L Autobiography Dynamic SD V6,Dec 2017,"20,793 miles",Automatic,Black,5 door SUV,3L,https://www.cazoo.co.uk/car-details/d04d481e-2874-5267-8886-918390581a4f/
11,Porsche Cayenne,"£53,800",3L T V6,Mar 2019,"15,755 miles",Automatic,White,5 door SUV,3L,https://www.cazoo.co.uk/car-details/9ca6d714-033d-5329-a319-6b36ae792957/
12,Tesla Model 3,"£53,550",Long Range,Mar 2021,"6,963 miles",Automatic,Grey,4 door Saloon,,https://www.cazoo.co.uk/car-details/e45e65b9-b403-5c53-b4b3-2ee4af97283a/
13,Tesla Model 3,"£52,550",Long Range,Sept 2021,"5,812 miles",Automatic,White,4 door Saloon,,https://www.cazoo.co.uk/car-details/0d61c62f-a92e-529e-85e5-f2e0c9353c00/
14,Land Rover Range Rover,"£52,400",4.4L Autobiography SD V8,Feb 2018,"61,954 miles",Automatic,Grey,5 door SUV,4.4L,https://www.cazoo.co.uk/car-details/dcbb0d98-808d-5f25-83fb-d21eea862b13/
15,Porsche 718 Cayman,"£52,350",2.5L GTS T,May 2018,"15,361 miles",Automatic,Silver,2 door Coupe,2.5L,https://www.cazoo.co.uk/car-details/846d28e5-7225-521c-bdf2-92a0dcd2dbc6/
16,Tesla Model 3,"£52,300",Long Range,Sept 2021,"2,889 miles",Automatic,White,4 door Saloon,,https://www.cazoo.co.uk/car-details/1923b4b7-6a9c-5970-a45d-5a5f953a9254/
17,Land Rover Range Rover Sport,"£51,800",5L Autobiography Dynamic P525 V8,Dec 2017,"60,414 miles",Automatic,Black,5 door SUV,5L,https://www.cazoo.co.uk/car-details/09083951-006b-59c0-ba85-a797d4615cba/
18,Tesla Model 3,"£51,800",Long Range,Nov 2021,"5,632 miles",Automatic,White,4 door Saloon,,https://www.cazoo.co.uk/car-details/3ed812b3-4ec2-5de9-b5e0-c7916d3a4bd4/
19,Land Rover Range Rover Sport,"£51,500",3L Autobiography Dynamic SD V6,Mar 2018,"38,353 miles",Automatic,Grey,5 door SUV,3L,https://www.cazoo.co.uk/car-details/bcf13386-3bb8-5431-a0e9-d9554b5bb212/
20,Tesla Model 3,"£51,450",Long Range,Dec 2021,"7,426 miles",Automatic,White,4 door Saloon,,https://www.cazoo.co.uk/car-details/3bf9e4bb-88a4-5b3c-b68f-8ef949cbedd0/
21,Audi SQ5,"£51,200",3L TDI V6,Jan 2021,"11,950 miles",Automatic,Black,5 door SUV,3L,https://www.cazoo.co.uk/car-details/c3f9c2ef-09a3-56cf-a8ad-944e5dd99c8e/
22,Kia Sorento,"£50,500",1.6L 4 T-GDi,Aug 2021,"1,054 miles",Automatic,Grey,5 door SUV,1.6L,https://www.cazoo.co.uk/car-details/8767f730-4748-5221-81ea-f76d14b7fc0f/
23,Tesla Model 3,"£50,450",Performance,Dec 2020,"24,026 miles",Automatic,Grey,4 door Saloon,,https://www.cazoo.co.uk/car-details/5c22b78a-d4e3-54e3-b74a-4271dd074648/
24,Skoda Enyaq,"£50,150",80 SportLine,Sept 2021,"1,843 miles",Automatic,Blue,5 door SUV,,https://www.cazoo.co.uk/car-details/12baefe4-52e6-56ac-a3d6-506e1629880b/
25,Land Rover Range Rover Sport,"£50,100",3L HSE Dynamic SD V6,Mar 2018,"31,336 miles",Automatic,Silver,5 door SUV,3L,https://www.cazoo.co.uk/car-details/dfc821e4-d1c5-5aea-a1c0-bf5236aac9b5/
26,Tesla Model 3,"£50,100",Long Range,Jun 2021,"8,507 miles",Automatic,White,4 door Saloon,,https://www.cazoo.co.uk/car-details/bd452cec-962a-5427-8957-b61c34510dfb/
27,Land Rover Range Rover,"£49,700",3L Vogue TD V6,Dec 2017,"32,498 miles",Automatic,Black,5 door SUV,3L,https://www.cazoo.co.uk/car-details/4c40d543-74a6-5d50-b760-eb8d9073980d/
28,Tesla Model 3,"£49,200",Standard Range Plus,Sept 2021,"3,993 miles",Automatic,White,4 door Saloon,,https://www.cazoo.co.uk/car-details/84d141c3-c835-5b88-b604-bb5c90033353/
29,Mercedes-Benz EQA,"£49,150",2L AMG Line EQA 250,Aug 2021,"7,014 miles",Automatic,Black,5 door SUV,,https://www.cazoo.co.uk/car-details/ae9f5f2d-7faa-50d2-826e-e01c7e9ebd2e/
30,Audi A8,"£49,000",3L Black Edition TDI V6,Sept 2021,"16,941 miles",Automatic,Black,4 door Saloon,3L,https://www.cazoo.co.uk/car-details/b7bf039d-5042-5fab-aa3a-a282932cfc93/
31,Land Rover Range Rover,"£48,600",3L Vogue TD V6,Jan 2018,"26,714 miles",Automatic,Grey,5 door SUV,3L,https://www.cazoo.co.uk/car-details/d979a421-1e4b-5805-8c7e-248bf4c017db/
32,Jaguar I-PACE,"£48,400",HSE,Jul 2019,"24,688 miles",Automatic,Blue,5 door SUV,,https://www.cazoo.co.uk/car-details/40df1b25-49ae-5056-864d-221d7a37d5fe/
33,Land Rover Range Rover Sport,"£48,250",3L Autobiography Dynamic SD V6,Dec 2017,"45,989 miles",Automatic,White,5 door SUV,3L,https://www.cazoo.co.uk/car-details/1b374a1c-e462-580b-b898-5048f6d3103f/
34,Land Rover Range Rover Sport,"£48,150",3L Autobiography Dynamic SD V6,Jan 2018,"41,870 miles",Automatic,Black,5 door SUV,3L,https://www.cazoo.co.uk/car-details/b732b7f9-c6ed-5602-a8c9-2800d99cd984/
35,Tesla Model 3,"£47,550",Standard Range Plus,Mar 2021,597 miles,Automatic,Grey,5 door Saloon,,https://www.cazoo.co.uk/car-details/dc686c87-3f5e-5117-a4ea-6b85bd14b301/
36,Land Rover Discovery,"£47,400",3L HSE Luxury TD V6,May 2018,"31,183 miles",Automatic,Silver,5 door SUV,3L,https://www.cazoo.co.uk/car-details/383bf56c-7080-5889-bf5d-5705530f8ffa/
37,Porsche 718 Cayman,"£47,400",2L T,Dec 2018,"13,313 miles",Automatic,Grey,2 door Coupe,2L,https://www.cazoo.co.uk/car-details/a19c190d-3cd4-56d8-bb24-1d8573da8b4b/
38,Land Rover Range Rover,"£47,250",3L Vogue SE TD V6,Mar 2018,"62,554 miles",Automatic,Blue,5 door SUV,3L,https://www.cazoo.co.uk/car-details/fac0422f-79c5-56ca-9add-63ff93252daf/
39,Land Rover Range Rover Sport,"£47,050",3L HSE SD V6,Apr 2018,"38,055 miles",Automatic,Grey,5 door SUV,3L,https://www.cazoo.co.uk/car-details/8c023a93-4792-51d1-b41b-57b12d35eaa0/
40,Land Rover Range Rover Velar,"£47,050",2L R-Dynamic SE D240,Jul 2020,"14,561 miles",Automatic,Red,5 door SUV,2L,https://www.cazoo.co.uk/car-details/517c3251-946f-5cb4-b893-ed627d00e29e/
41,Jaguar I-PACE,"£47,000",SE,Aug 2020,"9,054 miles",Automatic,Blue,5 door SUV,,https://www.cazoo.co.uk/car-details/753ff9c6-b3d6-5dc7-9079-28401e2f150f/
42,Jaguar E-PACE,"£46,700",2L 300 Sport MHEV P300,Aug 2021,"5,318 miles",Automatic,Blue,5 door SUV,2L,https://www.cazoo.co.uk/car-details/0d43f46f-fc4d-59c6-b64d-b748ad41c5c7/
43,Land Rover Range Rover,"£46,650",4.4L Autobiography SD V8,Mar 2017,"39,849 miles",Automatic,Red,5 door SUV,4.4L,https://www.cazoo.co.uk/car-details/2b98e24f-7224-5f9a-904e-6762c2a7e11a/
44,Land Rover Range Rover Sport,"£46,550",3L Autobiography Dynamic SD V6,Dec 2017,"46,003 miles",Automatic,Grey,5 door SUV,3L,https://www.cazoo.co.uk/car-details/420d87fb-5ae1-55ff-b5da-60030a3eca88/
45,Land Rover Range Rover Velar,"£46,350",3L R-Dynamic HSE Si6 V6,Apr 2018,"22,732 miles",Automatic,Silver,5 door SUV,3L,https://www.cazoo.co.uk/car-details/b67dc375-f11d-5092-a2ab-71c371e5d700/
46,BMW 7 Series,"£46,200",6.6L M760L V12,Feb 2018,"28,251 miles",Automatic,Mineral White,4 door Saloon,6.6L,https://www.cazoo.co.uk/car-details/60dd59f9-2da1-5adf-88e6-d16062778ae2/
47,BMW X5,"£46,100",3L M Sport 40i,Apr 2019,"18,618 miles",Automatic,Black Sapphire metallic paint,5 door SUV,3L,https://www.cazoo.co.uk/car-details/dbdeaa8f-7462-52ec-abf4-d2848ff872ce/
48,Jaguar I-PACE,"£45,350",SE,May 2019,"12,017 miles",Automatic,White,5 door SUV,,https://www.cazoo.co.uk/car-details/4f6c70b3-3eb0-5396-b93a-b20c5ab780d3/
49,Audi Q4 e-tron,"£45,350",Sport,Jun 2021,"5,500 miles",Automatic,Grey,5 door SUV,,https://www.cazoo.co.uk/car-details/7d25b731-d41e-5f87-a002-d68cbb3fcf38/
50,Land Rover Range Rover Sport,"£44,750",3L HSE Dynamic SD V6,Dec 2017,"45,443 miles",Automatic,Silver,5 door SUV,3L,https://www.cazoo.co.uk/car-details/5155ef41-8a8f-5c58-9651-bb440fa0c76e/
51,Land Rover Range Rover Sport,"£44,750",3L Autobiography Dynamic SD V6,Dec 2017,"46,003 miles",Automatic,Black,5 door SUV,3L,https://www.cazoo.co.uk/car-details/5acc9e62-2da0-5c8f-825c-6176839cd45a/
52,BMW 3 Series,"£44,600",3L M340i,Jul 2020,"16,367 miles",Automatic,Portimao Blue,5 door Estate,3L,https://www.cazoo.co.uk/car-details/03af8b59-032d-55f2-8188-486b53fc6725/
53,Land Rover Range Rover Sport,"£44,300",3L HSE Dynamic SD V6,Jan 2018,"34,260 miles",Automatic,Black,5 door SUV,3L,https://www.cazoo.co.uk/car-details/288939ba-3809-531e-9218-1821982cf9ab/
54,Porsche Macan,"£44,150",3L S V6,Mar 2018,"20,154 miles",Automatic,White,5 door SUV,3L,https://www.cazoo.co.uk/car-details/bbec49c2-75c0-536f-9a1f-cef30497e97d/
55,Land Rover Range Rover,"£43,900",3L Vogue SE TD V6,Nov 2017,"35,965 miles",Automatic,Grey,5 door SUV,3L,https://www.cazoo.co.uk/car-details/8ecbd78d-4610-594b-91a9-b28fe6ef433e/
56,BMW 3 Series,"£43,750",3L MHT M340i,Mar 2021,"14,089 miles",Automatic,Portimao Blue,5 door Estate,3L,https://www.cazoo.co.uk/car-details/acae713f-8cd1-5794-abfe-97205678ee92/
57,Land Rover Range Rover Velar,"£43,700",2L S MHEV D200,Sept 2021,"10,580 miles",Automatic,Blue,5 door SUV,2L,https://www.cazoo.co.uk/car-details/faf9c597-689f-508b-8fb2-b936fcaa2498/
58,Audi Q5,"£43,700",2L S line TFSI,Jun 2021,"3,420 miles",Automatic,White,5 door SUV,2L,https://www.cazoo.co.uk/car-details/164208d3-7e47-58f1-9c2d-1184acb025bb/
59,Jaguar I-PACE,"£43,650",SE,Jul 2019,"30,879 miles",Automatic,Red,5 door SUV,,https://www.cazoo.co.uk/car-details/d64fb4e1-b6b1-564b-9292-0d74a131344a/
60,Land Rover Discovery,"£43,650",2L HSE Luxury SD4,Apr 2018,"32,384 miles",Automatic,Black,5 door SUV,2L,https://www.cazoo.co.uk/car-details/e69bd9d2-6b81-5468-a78e-76eb4be2cb3a/
61,Land Rover Range Rover Sport,"£43,650",3L HSE SD V6,Dec 2017,"40,348 miles",Automatic,White,5 door SUV,3L,https://www.cazoo.co.uk/car-details/53a7e2d1-c599-5026-9ec8-281ca1604cb6/
62,Audi SQ7,"£43,450",4L TDI V8,Oct 2016,"38,067 miles",Automatic,Grey,5 door SUV,4L,https://www.cazoo.co.uk/car-details/12039f27-3478-5007-a6e5-fcf28ad408db/
63,Land Rover Range Rover Sport,"£43,450",3L HSE SD V6,Nov 2017,"45,142 miles",Automatic,Silver,5 door SUV,3L,https://www.cazoo.co.uk/car-details/0f66ebc5-7fee-5e75-a74e-da958a629ec7/
64,Audi Q5,"£43,350",2L S line TFSI,May 2021,"8,639 miles",Automatic,White,5 door SUV,2L,https://www.cazoo.co.uk/car-details/30d781a7-fb5c-5ae7-8bf1-6c49271cdb1d/
65,Land Rover Range Rover Sport,"£43,300",3L HSE SD V6,Dec 2017,"47,302 miles",Automatic,Black,5 door SUV,3L,https://www.cazoo.co.uk/car-details/100c4c6d-b370-5db2-ae14-ee5273bcb679/
66,Land Rover Discovery,"£43,050",2L SE SD4,Sept 2019,"14,430 miles",Automatic,White,5 door SUV,2L,https://www.cazoo.co.uk/car-details/3882027b-35c5-57cb-828e-19fd8e020bad/
67,BMW M2,"£43,000",3L Competition BiTurbo,Apr 2019,"15,413 miles",Manual,Hockenheim Silver metallic,3 door Coupe,3L,https://www.cazoo.co.uk/car-details/92a27300-c274-5475-b408-165142eec806/
68,Audi Q7,"£42,850",3L S line TDI V6,May 2019,"14,930 miles",Automatic,White,5 door SUV,3L,https://www.cazoo.co.uk/car-details/5c48bdfd-64fa-565f-8b86-796ae6274892/
69,Land Rover Range Rover Sport,"£42,800",3L Autobiography Dynamic SD V6,Dec 2017,"40,000 miles",Automatic,Grey,5 door SUV,3L,https://www.cazoo.co.uk/car-details/61d0e1c6-f621-527e-bf3e-7d81fa41b249/
70,Land Rover Range Rover Velar,"£42,750",2L R-Dynamic HSE D240,Jun 2018,"22,726 miles",Automatic,Silver,5 door SUV,2L,https://www.cazoo.co.uk/car-details/f51e3d4b-c850-5d9a-8d47-0115ce4faf21/
71,Land Rover Range Rover Sport,"£42,700",3L HSE SD V6,Dec 2017,"48,605 miles",Automatic,White,5 door SUV,3L,https://www.cazoo.co.uk/car-details/e7a27c47-c846-566b-abc4-1a773a5ca218/
72,Skoda Enyaq,"£42,600",60,Nov 2021,"3,229 miles",Automatic,Grey,5 door SUV,,https://www.cazoo.co.uk/car-details/e93282fc-2546-5834-a659-f5b49222eab6/
73,Land Rover Discovery,"£42,550",2L HSE SD4,Sept 2018,"27,986 miles",Automatic,Grey,5 door SUV,2L,https://www.cazoo.co.uk/car-details/e97ddfe2-9533-5506-b290-6366b113ab2c/
74,Land Rover Discovery,"£42,100",2L HSE SD4,Apr 2019,"24,074 miles",Automatic,Black,5 door SUV,2L,https://www.cazoo.co.uk/car-details/b2bddf58-da14-5e41-a8b2-4f40ab0ba941/
75,Volvo XC90,"£42,050",2L R-Design Twin Engine h T8,Jun 2018,"47,627 miles",Automatic,White,5 door SUV,2L,https://www.cazoo.co.uk/car-details/64a3944f-085d-5fff-a92e-4e091b7cdd9a/
76,Jaguar I-PACE,"£41,950",SE,Aug 2019,"39,780 miles",Automatic,Grey,5 door SUV,,https://www.cazoo.co.uk/car-details/728147b9-0a25-5ba0-893b-4bc7686fb3b2/
77,Jaguar E-PACE,"£41,900",2L R-Dynamic SE MHEV P200,Mar 2021,"3,474 miles",Automatic,Blue,5 door SUV,2L,https://www.cazoo.co.uk/car-details/7e66ed1c-fe17-58c6-8b35-925ec1ad90e1/
78,BMW X3,"£41,600",2L M Sport MHT 20d,Sept 2021,"3,507 miles",Automatic,Alpine White,5 door SUV,2L,https://www.cazoo.co.uk/car-details/12496acc-c56d-5fd7-adad-88ef5d76a897/
79,Audi S8,"£41,600",4L Plus TFSI V8,Aug 2017,"43,571 miles",Automatic,Black,4 door Saloon,4L,https://www.cazoo.co.uk/car-details/0bee8fee-3938-5324-938b-8c979e5cd9f4/
80,Volvo XC90,"£41,550",2L Inscription MHEV B5,Sept 2019,"16,344 miles",Automatic,Black,5 door SUV,2L,https://www.cazoo.co.uk/car-details/ad23d31a-cf07-56f2-8b73-ab332b44039d/
81,Porsche Macan,"£41,250",3L GTS T V6,Dec 2016,"37,763 miles",Automatic,Black,5 door SUV,3L,https://www.cazoo.co.uk/car-details/e8ad0dec-4eac-54eb-9ea2-0277c39b3666/
82,Tesla Model 3,"£41,200",Standard Range Plus,Mar 2020,"18,766 miles",Automatic,White,4 door Saloon,,https://www.cazoo.co.uk/car-details/9d79c578-64e6-5d8d-80cf-f2bf63f634ba/
83,Land Rover Range Rover Velar,"£41,150",2L R-Dynamic SE D180,May 2019,"26,067 miles",Automatic,Blue,5 door SUV,2L,https://www.cazoo.co.uk/car-details/f0b8736a-cbc4-572b-9937-a77f79544f75/
84,Land Rover Range Rover Velar,"£41,150",3L R-Dynamic HSE SD6 V6,Jan 2018,"38,771 miles",Automatic,Blue,5 door SUV,3L,https://www.cazoo.co.uk/car-details/92a05e6e-5bcb-5dc9-aa96-43877ed5472a/
85,Land Rover Range Rover Sport,"£41,050",3L Autobiography Dynamic SD V6,Jan 2018,"47,037 miles",Automatic,Grey,5 door SUV,3L,https://www.cazoo.co.uk/car-details/756cde2d-158c-5a27-b3cb-ad2ebeff1fe8/
86,BMW X3,"£41,000",2L M Sport 20i,May 2021,"5,737 miles",Automatic,Carbon Black,5 door SUV,2L,https://www.cazoo.co.uk/car-details/9f6a785c-4006-5282-bf19-213dece537cb/
87,Land Rover Range Rover Velar,"£40,900",2L R-Dynamic HSE P250,Jul 2018,"20,444 miles",Automatic,Black,5 door SUV,2L,https://www.cazoo.co.uk/car-details/ffd53db0-01bc-585f-bbf8-a74bf5ee8075/
88,BMW 4 Series,"£40,750",2L M Sport 420i,Sept 2021,"4,498 miles",Automatic,Black Sapphire metallic paint,2 door Convertible,2L,https://www.cazoo.co.uk/car-details/41f4ff30-5fb0-5527-be99-108b18be801b/
89,Jaguar E-PACE,"£40,700",2L R-Dynamic S MHEV P200,Jun 2021,"5,986 miles",Automatic,White,5 door SUV,2L,https://www.cazoo.co.uk/car-details/c6b99741-152f-592a-8afe-f142af213ee3/
90,Land Rover Range Rover Velar,"£40,550",2L R-Dynamic S D180,May 2019,"24,011 miles",Automatic,Blue,5 door SUV,2L,https://www.cazoo.co.uk/car-details/818e46af-a85b-531f-9fe1-3b428a019420/
91,Land Rover Range Rover Velar,"£40,550",3L R-Dynamic HSE SD6 V6,May 2018,"41,648 miles",Automatic,Red,5 door SUV,3L,https://www.cazoo.co.uk/car-details/adc470b9-2dbb-564c-93dc-a4f139ad71e5/
92,Peugeot 3008,"£40,500",1.6L GT Premium,Mar 2022,"3,219 miles",Automatic,White,5 door SUV,1.6L,https://www.cazoo.co.uk/car-details/bb8739c8-54cd-5cae-ac46-447147050d30/
93,Tesla Model 3,"£40,400",Standard Range Plus,Dec 2019,"15,379 miles",Automatic,Black,4 door Saloon,,https://www.cazoo.co.uk/car-details/12406700-5323-511e-9c13-d52726a2d26c/
94,Land Rover Range Rover Sport,"£40,350",3L HSE Dynamic SD V6,Dec 2017,"59,589 miles",Automatic,Grey,5 door SUV,3L,https://www.cazoo.co.uk/car-details/cb113976-0595-55a6-8906-2414cfcbc782/
95,Volvo XC60,"£40,300",2L Inscription Twin Engine h T8,Nov 2019,"10,001 miles",Automatic,Red,5 door SUV,2L,https://www.cazoo.co.uk/car-details/634fe924-ece5-5700-91a8-09d0b1e65bb7/
96,BMW 3 Series,"£40,300",2L M Sport 330e,Sept 2021,"4,776 miles",Automatic,Mineral White,5 door Estate,2L,https://www.cazoo.co.uk/car-details/49b74f66-341a-5a52-8c73-cc00f9e2e1e4/
97,Volvo XC90,"£40,250",2L Inscription Twin Engine h T8,May 2019,"63,424 miles",Automatic,Grey,5 door SUV,2L,https://www.cazoo.co.uk/car-details/a281e1fa-a8b4-5723-bfe9-70ae52811d5e/
98,Land Rover Discovery,"£40,200",3L HSE Luxury TD V6,Jan 2018,"57,688 miles",Automatic,Grey,5 door SUV,3L,https://www.cazoo.co.uk/car-details/42cdd2c9-3736-5d6d-9e90-65ea3f5615c5/
99,BMW 4 Series Gran Coupe,"£40,150",2L M Sport MHT 420d,Jan 2022,"2,217 miles",Automatic,Black Sapphire metallic paint,5 door Hatchback,2L,https://www.cazoo.co.uk/car-details/e6b346e2-3610-5907-8a44-3b5e166d3f1b/
100,Audi Q7,"£40,100",3L S line TDI V6,Oct 2018,"10,945 miles",Automatic,Black,5 door SUV,3L,https://www.cazoo.co.uk/car-details/70e5d974-d048-5156-84b6-8cb9892afe86/
101,Land Rover Discovery,"£40,000",3L HSE Luxury TD V6,Mar 2017,"51,043 miles",Automatic,Red,5 door SUV,3L,https://www.cazoo.co.uk/car-details/fb1aed60-fd34-5e59-99be-1119c855548d/
102,Porsche Macan,"£39,850",3L S V6,Mar 2018,"25,641 miles",Automatic,White,5 door SUV,3L,https://www.cazoo.co.uk/car-details/d4495be5-007e-54e2-9352-f67be0bd8dbe/
103,Mercedes-Benz GLC Class,"£39,800",2L AMG Line GLC220d,Mar 2021,"24,124 miles",Automatic,Black,5 door Coupe,1.9L,https://www.cazoo.co.uk/car-details/01464aa3-3f29-5dc8-b52c-6f98b3aa014b/
104,Mercedes-Benz GLC Class,"£39,650",2L AMG Line GLC220d,May 2021,"18,255 miles",Automatic,Silver,5 door Coupe,1.9L,https://www.cazoo.co.uk/car-details/8c8a2f03-d752-5866-a753-f44a06c7a94d/
105,BMW X3,"£39,600",2L M Sport MHT 20d,Sept 2021,"8,499 miles",Automatic,Sophisto Grey,5 door SUV,2L,https://www.cazoo.co.uk/car-details/d89790a0-0742-5b9b-8e45-2b6811ac3828/
106,Land Rover Range Rover Sport,"£39,550",3L HSE Dynamic SD V6,Mar 2017,"37,463 miles",Automatic,Blue,5 door SUV,3L,https://www.cazoo.co.uk/car-details/6ef2364c-b1ac-5cf7-928c-d5811a6fb5bf/
107,Skoda Enyaq,"£39,550",60 Nav Loft,Aug 2021,"10,387 miles",Automatic,Blue,5 door SUV,,https://www.cazoo.co.uk/car-details/392bd690-9973-577f-8467-b6cd350e892b/
108,Jaguar I-PACE,"£39,500",S,May 2019,"22,348 miles",Automatic,Silver,5 door SUV,,https://www.cazoo.co.uk/car-details/5e68934a-76d2-5d73-9c45-581956ff4a90/
109,Land Rover Range Rover Sport,"£39,500",3L HSE SD V6,May 2017,"32,639 miles",Automatic,Silver,5 door SUV,3L,https://www.cazoo.co.uk/car-details/6f29d972-3167-5927-b4f4-2f60280f493d/
110,Mercedes-Benz GLC Class,"£39,500",2L AMG Line GLC220d,May 2021,"16,549 miles",Automatic,Silver,5 door Coupe,1.9L,https://www.cazoo.co.uk/car-details/52588a66-f33b-5764-b010-fc2f8c781c54/
111,Land Rover Range Rover Evoque,"£39,350",2L R-Dynamic S MHEV D200,Jun 2021,"8,535 miles",Automatic,Black,5 door SUV,2L,https://www.cazoo.co.uk/car-details/c5705c55-e175-5945-9c03-4b8ad999e700/
112,Land Rover Discovery,"£39,350",3L HSE TD V6,Sept 2017,"31,652 miles",Automatic,Black,5 door SUV,3L,https://www.cazoo.co.uk/car-details/81dfc2a8-a503-51b0-8469-e4791bbf99f2/
113,Land Rover Discovery,"£39,350",2L HSE SD4,Jan 2019,"38,545 miles",Automatic,Black,5 door SUV,2L,https://www.cazoo.co.uk/car-details/416f43e6-1fab-54c0-8e5b-851bdd6382ee/
114,Volvo XC90,"£39,200",2L R-Design T5,Sept 2019,"34,362 miles",Automatic,White,5 door SUV,2L,https://www.cazoo.co.uk/car-details/c3698bf3-de72-5da7-8b7b-28523e58b763/
115,BMW X1,"£39,150",1.5L xLine 25e,Dec 2021,"5,897 miles",Automatic,Jet Black,5 door SUV,1.5L,https://www.cazoo.co.uk/car-details/2aeca97c-b6a2-55a5-a0c9-a78d769345ca/
116,Mini Countryman,"£39,150",1.5L Cooper SE Sport,Sept 2021,"9,189 miles",Automatic,Chili Red,5 door SUV,1.5L,https://www.cazoo.co.uk/car-details/8ea45d57-60af-50bc-990f-cca7319b443e/
117,Cupra Formentor,"£39,150",1.4L VZ2,Feb 2022,"1,372 miles",Automatic,Red,5 door SUV,1.4L,https://www.cazoo.co.uk/car-details/43e6d841-23a9-51fc-9a78-88b402972fe3/
118,Mercedes-Benz C Class,"£39,100",2L AMG Line Night Edition C300e,Jun 2021,"19,085 miles",Automatic,Black,5 door Estate,2L,https://www.cazoo.co.uk/car-details/e7ddc0c8-5cfc-575e-b6dd-c5728eaf7751/
119,Land Rover Range Rover Velar,"£39,100",2L R-Dynamic SE D180,Mar 2019,"20,301 miles",Automatic,Red,5 door SUV,2L,https://www.cazoo.co.uk/car-details/1be43e32-91c6-5d3c-af14-45d11e3acea8/
120,Land Rover Discovery,"£39,000",2L HSE SD4,Jun 2018,"42,099 miles",Automatic,Black,5 door SUV,2L,https://www.cazoo.co.uk/car-details/5960eafe-16bd-53d5-9f07-bd168a488b14/
121,Land Rover Range Rover Velar,"£38,950",2L S D180,Jun 2019,"12,201 miles",Automatic,Grey,5 door SUV,2L,https://www.cazoo.co.uk/car-details/effd8ce6-974f-5e4c-ada0-5623314c22f4/
122,Toyota RAV4,"£38,850",2.5L Dynamic VVT-h,Oct 2021,"8,300 miles",Automatic,Silver,5 door SUV,2.5L,https://www.cazoo.co.uk/car-details/b0d35341-6f71-59e6-90f1-c6c103a0271f/
123,Jaguar E-PACE,"£38,800",2L R-Dynamic S MHEV P200,May 2021,"9,667 miles",Automatic,Grey,5 door SUV,2L,https://www.cazoo.co.uk/car-details/7a032fb7-b636-5d6b-b8b7-a6cf39eb55c1/
124,Jaguar I-PACE,"£38,750",S,Jun 2019,"33,126 miles",Automatic,Black,4 door SUV,,https://www.cazoo.co.uk/car-details/1adab806-a2a8-5785-b77f-bbe62fa82d8b/
125,Audi Q7,"£38,750",3L Sport TDI V6,Sept 2019,"24,205 miles",Automatic,Blue,5 door SUV,3L,https://www.cazoo.co.uk/car-details/1ad6f3c4-3d47-517d-a795-d34034aeafff/
126,Porsche Macan,"£38,700",3L S TD V6,May 2017,"33,519 miles",Automatic,Grey,5 door SUV,3L,https://www.cazoo.co.uk/car-details/df9168db-4571-5cec-bd3a-a7cc4ea308e2/
