model,listing_price,trim,mileage,transmission,color,car_body,car_engine,car_make,car_age
Range Rover Sport,43300,3L HSE SD V6,47302,Automatic,Black,5 door SUV,3L,Land Rover,5.0
Rover Discovery,43050,2L SE SD4,14430,Automatic,White,5 door SUV,2L,Land Rover,3.0
Q7,42850,3L S line TDI V6,14930,Automatic,White,5 door SUV,3L,Audi,3.0
Range Rover Sport,42800,3L Autobiography Dynamic SD V6,40000,Automatic,Grey,5 door SUV,3L,Land Rover,5.0
Range Rover Velar,42750,2L R-Dynamic HSE D240,22726,Automatic,Silver,5 door SUV,2L,Land Rover,4.0
Range Rover Sport,42700,3L HSE SD V6,48605,Automatic,White,5 door SUV,3L,Land Rover,5.0
Rover Discovery,42550,2L HSE SD4,27986,Automatic,Grey,5 door SUV,2L,Land Rover,4.0
Rover Discovery,42100,2L HSE SD4,24074,Automatic,Black,5 door SUV,2L,Land Rover,3.0
XC90,42050,2L R-Design Twin Engine h T8,47627,Automatic,White,5 door SUV,2L,Volvo,4.0
I-PACE,41950,SE,39780,Automatic,Grey,5 door SUV,Electric,Jaguar,3.0
E-PACE,41900,2L R-Dynamic SE MHEV P200,3474,Automatic,Blue,5 door SUV,2L,Jaguar,1.0
X3,41600,2L M Sport MHT 20d,3507,Automatic,White,5 door SUV,2L,BMW,1.0
XC90,41550,2L Inscription MHEV B5,16344,Automatic,Black,5 door SUV,2L,Volvo,3.0
Macan,41250,3L GTS T V6,37763,Automatic,Black,5 door SUV,3L,Porsche,6.0
Model 3,41200,Standard Range Plus,18766,Automatic,White,4 door Saloon,Electric,Tesla,2.0
Range Rover Velar,41150,2L R-Dynamic SE D180,26067,Automatic,Blue,5 door SUV,2L,Land Rover,3.0
Range Rover Velar,41150,3L R-Dynamic HSE SD6 V6,38771,Automatic,Blue,5 door SUV,3L,Land Rover,4.0
Range Rover Sport,41050,3L Autobiography Dynamic SD V6,47037,Automatic,Grey,5 door SUV,3L,Land Rover,4.0
X3,41000,2L M Sport 20i,5737,Automatic,Black,5 door SUV,2L,BMW,1.0
Range Rover Velar,40900,2L R-Dynamic HSE P250,20444,Automatic,Black,5 door SUV,2L,Land Rover,4.0
4 Series,40750,2L M Sport 420i,4498,Automatic,Black,2 door Convertible,2L,BMW,1.0
E-PACE,40700,2L R-Dynamic S MHEV P200,5986,Automatic,White,5 door SUV,2L,Jaguar,1.0
Range Rover Velar,40550,2L R-Dynamic S D180,24011,Automatic,Blue,5 door SUV,2L,Land Rover,3.0
Range Rover Velar,40550,3L R-Dynamic HSE SD6 V6,41648,Automatic,Red,5 door SUV,3L,Land Rover,4.0
3008,40500,1.6L GT Premium,3219,Automatic,White,5 door SUV,1.6L,Peugeot,0.5
Model 3,40400,Standard Range Plus,15379,Automatic,Black,4 door Saloon,Electric,Tesla,3.0
Range Rover Sport,40350,3L HSE Dynamic SD V6,59589,Automatic,Grey,5 door SUV,3L,Land Rover,5.0
XC60,40300,2L Inscription Twin Engine h T8,10001,Automatic,Red,5 door SUV,2L,Volvo,3.0
3 Series,40300,2L M Sport 330e,4776,Automatic,White,5 door Estate,2L,BMW,1.0
XC90,40250,2L Inscription Twin Engine h T8,63424,Automatic,Grey,5 door SUV,2L,Volvo,3.0
Rover Discovery,40200,3L HSE Luxury TD V6,57688,Automatic,Grey,5 door SUV,3L,Land Rover,4.0
4 Series Gran Coupe,40150,2L M Sport MHT 420d,2217,Automatic,Black,5 door Hatchback,2L,BMW,0.5
Q7,40100,3L S line TDI V6,10945,Automatic,Black,5 door SUV,3L,Audi,4.0
Rover Discovery,40000,3L HSE Luxury TD V6,51043,Automatic,Red,5 door SUV,3L,Land Rover,5.0
Macan,39850,3L S V6,25641,Automatic,White,5 door SUV,3L,Porsche,4.0
GLC Class,39800,2L AMG Line GLC220d,24124,Automatic,Black,5 door Coupe,1.9L,Mercedes-Benz,1.0
GLC Class,39650,2L AMG Line GLC220d,18255,Automatic,Silver,5 door Coupe,1.9L,Mercedes-Benz,1.0
X3,39600,2L M Sport MHT 20d,8499,Automatic,Grey,5 door SUV,2L,BMW,1.0
Range Rover Sport,39550,3L HSE Dynamic SD V6,37463,Automatic,Blue,5 door SUV,3L,Land Rover,5.0
I-PACE,39500,S,22348,Automatic,Silver,5 door SUV,Electric,Jaguar,3.0
Range Rover Sport,39500,3L HSE SD V6,32639,Automatic,Silver,5 door SUV,3L,Land Rover,5.0
GLC Class,39500,2L AMG Line GLC220d,16549,Automatic,Silver,5 door Coupe,1.9L,Mercedes-Benz,1.0
Range Rover Evoque,39350,2L R-Dynamic S MHEV D200,8535,Automatic,Black,5 door SUV,2L,Land Rover,1.0
Rover Discovery,39350,3L HSE TD V6,31652,Automatic,Black,5 door SUV,3L,Land Rover,5.0
Rover Discovery,39350,2L HSE SD4,38545,Automatic,Black,5 door SUV,2L,Land Rover,3.0
XC90,39200,2L R-Design T5,34362,Automatic,White,5 door SUV,2L,Volvo,3.0
X1,39150,1.5L xLine 25e,5897,Automatic,Black,5 door SUV,1.5L,BMW,1.0
Countryman,39150,1.5L Cooper SE Sport,9189,Automatic,Red,5 door SUV,1.5L,Mini,1.0
C Class,39100,2L AMG Line Night Edition C300e,19085,Automatic,Black,5 door Estate,2L,Mercedes-Benz,1.0
Range Rover Velar,39100,2L R-Dynamic SE D180,20301,Automatic,Red,5 door SUV,2L,Land Rover,3.0
Rover Discovery,39000,2L HSE SD4,42099,Automatic,Black,5 door SUV,2L,Land Rover,4.0
Range Rover Velar,38950,2L S D180,12201,Automatic,Grey,5 door SUV,2L,Land Rover,3.0
RAV4,38850,2.5L Dynamic VVT-h,8300,Automatic,Silver,5 door SUV,2.5L,Toyota,1.0
E-PACE,38800,2L R-Dynamic S MHEV P200,9667,Automatic,Grey,5 door SUV,2L,Jaguar,1.0
I-PACE,38750,S,33126,Automatic,Black,4 door SUV,Electric,Jaguar,3.0
Q7,38750,3L Sport TDI V6,24205,Automatic,Blue,5 door SUV,3L,Audi,3.0
Macan,38700,3L S TD V6,33519,Automatic,Grey,5 door SUV,3L,Porsche,5.0
3 Series,38650,3L M Sport Plus Edition 330d,21140,Automatic,Blue,5 door Estate,3L,BMW,3.0
X3,38550,2L M Sport MHT 20d,3467,Automatic,Black,5 door SUV,2L,BMW,1.0
X3,38300,2L M Sport MHT 20d,10262,Automatic,Grey,5 door SUV,2L,BMW,1.0
GLE Class,38300,3L AMG Line GLE350d V6,13857,Automatic,Black,5 door Coupe,3L,Mercedes-Benz,5.0
Range Rover Velar,38150,2L R-Dynamic S P250,28508,Automatic,Silver,5 door SUV,2L,Land Rover,4.0
Q7,38150,3L S line TDI V6,38327,Automatic,Grey,5 door SUV,3L,Audi,4.0
NX 300h,38050,2.5L F Sport,13231,Automatic,Black,5 door SUV,2.5L,Lexus,1.0
Range Rover Sport,38050,3L HSE SD V6,30408,Automatic,Grey,5 door SUV,3L,Land Rover,5.0
Q7,38000,3L S line TDI V6,30804,Automatic,White,5 door SUV,3L,Audi,4.0
Range Rover Evoque,37900,2L S MHEV D165,2885,Automatic,Silver,5 door SUV,2L,Land Rover,1.0
XC90,37900,2L Momentum Pro MHEV B5,20214,Automatic,Other,5 door SUV,2L,Volvo,3.0
XC60,37850,2L R-Design Twin Engine h T8,18005,Automatic,Black,5 door SUV,2L,Volvo,3.0
RAV4,37800,2.5L Dynamic VVT-h,7481,Automatic,Silver,5 door SUV,2.5L,Toyota,1.0
Range Rover Evoque,37650,2L R-Dynamic S MHEV D200,8292,Automatic,Grey,5 door SUV,2L,Land Rover,1.0
Range Rover Sport,37450,3L HSE SD V6,30545,Automatic,Silver,5 door SUV,3L,Land Rover,5.0
Niro,37450,3,16,Automatic,Blue,5 door SUV,Electric,Kia,1.0
XC60,37400,2L R-Design Twin Engine h T8,22908,Automatic,Grey,5 door SUV,2L,Volvo,3.0
Kuga,37300,2.5L ST-Line X EcoBoost Duratec,3746,Automatic,Black,5 door SUV,2.5L,Ford,1.0
NX 300h,37300,2.5L NX,4195,Automatic,Red,5 door SUV,2.5L,Lexus,1.0
Range Rover Evoque,37300,2L R-Dynamic HSE MHEV P250,30069,Automatic,Black,5 door SUV,2L,Land Rover,3.0
Range Rover Sport,37200,3L HSE Dynamic SD V6,29534,Automatic,Grey,5 door SUV,3L,Land Rover,5.0
NX 300h,37100,2.5L F Sport,4421,Automatic,Black,5 door SUV,2.5L,Lexus,1.0
A Class,37000,2L AMG A35,10097,Automatic,Blue,5 door Hatchback,2L,Mercedes-Benz,3.0
S3,36900,2L TFSI,9861,Automatic,Grey,5 door Hatchback,2L,Audi,1.0
Discovery Sport,36550,2L R-Dynamic S MHEV D180,4809,Automatic,Red,5 door SUV,2L,Land Rover,2.0
E Class,36500,2L AMG Line E300,11676,Automatic,White,2 door Convertible,2L,Mercedes-Benz,3.0
Rover Discovery,36400,2L SE SD4,54607,Automatic,Black,5 door SUV,2L,Land Rover,3.0
Convertible,36250,2L John Cooper Works,6250,Automatic,Blue,2 door Convertible,2L,Mini,1.0
XC90,36200,2L R-Design PowerPulse D5,42489,Automatic,Blue,5 door SUV,2L,Volvo,3.0
