model,listing_price,trim,mileage,transmission,color,car_body,car_engine,car_make,car_age
A Class,20900,1.3L AMG Line A180,40091,Automatic,White,5 door Hatchback,1.3L,Mercedes-Benz,3.0
A Class,20900,1.5L AMG Line A180d,49011,Automatic,White,5 door Hatchback,1.5L,Mercedes-Benz,3.0
5008,20900,1.2L Allure PureTech,51512,Automatic,Blue,5 door MPV,1.2L,Peugeot,5.0
A Class,20900,1.3L AMG Line A200,51892,Automatic,Other,5 door Hatchback,1.3L,Mercedes-Benz,4.0
X3,20900,2L M Sport 20d,60820,Automatic,White,5 door SUV,2L,BMW,5.0
Sportage,20900,1.6L GT-Line EcoDynamics+ CRDi,4240,Manual,Silver,5 door SUV,1.6L,Kia,2.0
Sportage,20900,1.6L Platinum Edition GDi,5179,Manual,Grey,5 door SUV,1.6L,Kia,2.0
CX-5,20900,2L Sport Nav+ SKYACTIV-G,34852,Automatic,Red,5 door SUV,2L,Mazda,3.0
Range Rover Evoque,20900,2L SE Tech eD4,29446,Manual,Grey,5 door SUV,2L,Land Rover,4.0
Golf,20900,2L GTD TDI,32105,Automatic,Black,5 door Hatchback,2L,Volkswagen,4.0
Golf,20900,1.5L Match Edition TSI EVO,11309,Automatic,Blue,5 door Hatchback,1.5L,Volkswagen,2.0
Sportage,20900,1.6L GT-Line MHEV CRDi,23500,Automatic,White,5 door SUV,1.6L,Kia,2.0
Mondeo,20850,2L ST-Line Edition TDCi,44440,Automatic,Blue,5 door Estate,2L,Ford,3.0
Passat,20850,2L SE Business TDI,19408,Automatic,Grey,5 door Estate,2L,Volkswagen,3.0
A4,20850,1.4L Black Edition TFSI,16992,Automatic,Black,4 door Saloon,1.4L,Audi,5.0
5008,20850,1.2L Allure PureTech,53983,Manual,Grey,5 door SUV,1.2L,Peugeot,3.0
C Class,20850,2.1L Sport C220d,38400,Automatic,Silver,4 door Saloon,2.1L,Mercedes-Benz,4.0
Leon,20850,1L FR TSI EVO,39,Manual,Grey,5 door Hatchback,1L,Seat,0.5
Passat,20850,2L R-Line BlueMotion Tech TDI,28428,Automatic,Black,5 door Estate,2L,Volkswagen,5.0
CX-5,20850,2L Sport Nav+ SKYACTIV-G,28276,Automatic,Blue,5 door SUV,2L,Mazda,3.0
A Class,20850,1.3L Sport A200,30367,Automatic,Silver,5 door Hatchback,1.3L,Mercedes-Benz,3.0
3 Series,20850,2L M Sport 330e,27178,Automatic,Black,4 door Saloon,2L,BMW,4.0
Countryman,20850,1.5L Cooper Classic,12084,Manual,White,5 door SUV,1.5L,Mini,2.0
E-PACE,20850,2L D150,19854,Manual,Black,5 door SUV,2L,Jaguar,3.0
Golf,20850,1.4L GTE Advance TSI,37353,Automatic,Black,5 door Hatchback,1.4L,Volkswagen,5.0
Discovery Sport,20850,2L HSE Luxury TD4,36866,Manual,Grey,5 door SUV,2L,Land Rover,7.0
5 Series,20850,2L M Sport 530e,75689,Automatic,Grey,4 door Saloon,2L,BMW,4.0
Q2,20800,1.5L S line CoD TFSI,29138,Manual,Orange,5 door SUV,1.5L,Audi,3.0
2 Series,20800,2L M Sport 220d,26630,Automatic,White,2 door Coupe,2L,BMW,5.0
Leon,20800,1.5L FR Black Edition TSI EVO,12160,Automatic,Red,5 door Hatchback,1.5L,Seat,2.0
Q3,20800,1.4L S line Edition CoD TFSI,36040,Automatic,Grey,5 door SUV,1.4L,Audi,4.0
T-Roc,20800,1L Design TSI,14152,Manual,Blue,5 door SUV,1L,Volkswagen,2.0
A Class,20800,1.3L SE A180,10191,Automatic,White,5 door Hatchback,1.3L,Mercedes-Benz,3.0
A Class,20800,1.5L AMG Line A180d,20425,Automatic,Grey,5 door Hatchback,1.5L,Mercedes-Benz,4.0
A5,20800,2L S line TFSI,52734,Automatic,White,5 door Hatchback,2L,Audi,4.0
4 Series Gran Coupe,20800,2L M Sport 420i,23233,Automatic,Blue,5 door Coupe,2L,BMW,4.0
A Class,20800,1.3L Sport A200,14748,Automatic,White,5 door Hatchback,1.3L,Mercedes-Benz,3.0
Countryman,20800,1.5L Cooper SE,53122,Automatic,Silver,5 door SUV,1.5L,Mini,4.0
E Class,20800,2L AMG Line E220d,55414,Automatic,Grey,4 door Saloon,1.9L,Mercedes-Benz,6.0
A Class,20800,1.3L Sport A200,47020,Automatic,White,4 door Saloon,1.3L,Mercedes-Benz,3.0
E-PACE,20800,2L S D150,27797,Manual,White,5 door SUV,2L,Jaguar,4.0
Golf,20800,1.5L Style TSI,3071,Manual,Blue,5 door Hatchback,1.5L,Volkswagen,2.0
A3,20750,1.6L Black Edition TDI,25831,Manual,Grey,5 door Hatchback,1.6L,Audi,3.0
XCeed,20750,1.4L 3 T-GDi,6214,Automatic,White,5 door SUV,1.4L,Kia,2.0
A Class,20750,1.5L SE A180d,14322,Automatic,Grey,5 door Hatchback,1.5L,Mercedes-Benz,3.0
Clubman,20750,1.5L Cooper Classic,3014,Automatic,Black,5 door Estate,1.5L,Mini,3.0
Discovery Sport,20750,2L SE Tech TD4,60967,Automatic,Grey,5 door SUV,2L,Land Rover,5.0
Octavia,20750,1.5L SE L ACT TSI,5248,Manual,Blue,5 door Hatchback,1.5L,Skoda,2.0
Galaxy,20750,2L Titanium TDCi,21448,Automatic,Black,5 door MPV,2L,Ford,5.0
Range Rover Evoque,20750,2L SE TD4,23887,Manual,Black,5 door SUV,2L,Land Rover,5.0
Focus,20750,1L Titanium X Edition EcoBoost MHEV T,7816,Manual,White,5 door Hatchback,1L,Ford,1.0
Leon,20750,2L Cupra 300 TSI,36736,Automatic,Black,5 door Estate,2L,Seat,5.0
Range Rover Evoque,20750,2L SE TD4,58935,Automatic,Blue,5 door SUV,2L,Land Rover,4.0
X1,20750,2L Sport 20d,30655,Automatic,White,5 door SUV,2L,BMW,3.0
S90,20750,2L R-Design D4,19432,Automatic,Grey,4 door Saloon,2L,Volvo,4.0
CX-5,20750,2L Sport Nav+ SKYACTIV-G,27376,Automatic,Grey,5 door SUV,2L,Mazda,3.0
A Class,20750,1.3L Sport A200,23656,Automatic,Red,5 door Hatchback,1.3L,Mercedes-Benz,3.0
Golf,20750,1.5L Match Edition TSI EVO,7097,Automatic,White,5 door Hatchback,1.5L,Volkswagen,2.0
C Class,20750,2L Sport C350e,31550,Automatic,Silver,5 door Estate,2L,Mercedes-Benz,6.0
C Class,20750,2.1L AMG Line C250d,37258,Automatic,Silver,4 door Saloon,2.1L,Mercedes-Benz,5.0
Qashqai,20750,1.3L Acenta Premium DIG-T,4289,Automatic,Blue,5 door SUV,1.3L,Nissan,1.0
MG ZS,20750,Excite EV,4086,Automatic,Red,5 door SUV,Electric,MG,2.0
C Class,20700,2.1L AMG Line BlueTEC C300h,36808,Automatic,Black,4 door Saloon,2.1L,Mercedes-Benz,7.0
Zoe,20700,Iconic R135,20578,Automatic,Grey,5 door Hatchback,Electric,Renault,2.0
CX-5,20700,2.2L Sport Nav+ SKYACTIV-D,22052,Manual,Black,5 door SUV,2.2L,Mazda,3.0
A4 Avant,20700,2L S line ultra TDI,44475,Automatic,Black,5 door Estate,2L,Audi,4.0
Edge,20700,2L Sport TDCi,52994,Automatic,Black,5 door SUV,2L,Ford,5.0
3008,20700,1.2L GT Line PureTech,11820,Manual,White,5 door SUV,1.2L,Peugeot,3.0
Range Rover Evoque,20700,2L SE Tech TD4,32964,Manual,Other,5 door SUV,2L,Land Rover,5.0
A Class,20700,1.3L AMG Line A200,49041,Automatic,Grey,5 door Hatchback,1.3L,Mercedes-Benz,3.0
Sharan,20700,2L SE TDI,40132,Manual,Blue,5 door MPV,2L,Volkswagen,3.0
X4,20700,2L M Sport 20d,45556,Automatic,Grey,5 door SUV,2L,BMW,7.0
A Class,20700,1.5L AMG Line A180d,37127,Automatic,White,5 door Hatchback,1.5L,Mercedes-Benz,3.0
V90,20700,2L Inscription D4,54088,Automatic,Grey,5 door Estate,2L,Volvo,4.0
XF,20700,2L R-Sport d,20993,Automatic,Grey,4 door Saloon,2L,Jaguar,4.0
X1,20700,2L M Sport 20i,34811,Automatic,Grey,5 door SUV,2L,BMW,4.0
Superb,20700,2L Laurin & Klement TSI,40956,Automatic,Other,5 door Estate,2L,Skoda,6.0
Golf,20700,1L Life MHEV eTSI,8400,Automatic,Black,5 door Estate,1L,Volkswagen,2.0
3008,20650,1.5L GT Line Premium BlueHDi,45515,Automatic,Grey,5 door SUV,1.5L,Peugeot,3.0
Tiguan,20650,2L SEL TDI,44620,Manual,White,5 door SUV,2L,Volkswagen,3.0
A1,20650,1L S line TFSI,10883,Manual,Grey,5 door Hatchback,1L,Audi,2.0
Hatch,20650,2L John Cooper Works,33350,Manual,Green,3 door Hatchback,2L,Mini,3.0
Compass,20650,1.4L Limited MultiAirII T,5067,Automatic,Red,5 door SUV,1.4L,Jeep,4.0
Discovery Sport,20650,2L SE Tech TD4,44387,Manual,Black,5 door SUV,2L,Land Rover,5.0
Leon,20650,2L Cupra 290 TSI,29717,Automatic,Grey,5 door Hatchback,2L,Seat,3.0
Golf,20650,2L GTI TSI,29798,Manual,Black,5 door Hatchback,2L,Volkswagen,4.0
X1,20650,2L M Sport 20i,29460,Automatic,Black,5 door SUV,2L,BMW,4.0
V90,20650,2L Momentum D4,34882,Automatic,Grey,5 door Estate,2L,Volvo,4.0
V90,20650,2L Momentum D4,44842,Automatic,Black,5 door Estate,2L,Volvo,3.0
A Class,20650,1.3L AMG Line A180,51377,Automatic,White,5 door Hatchback,1.3L,Mercedes-Benz,3.0
Juke,20650,1L N-Connecta DIG-T,3585,Automatic,Black,5 door SUV,1L,Nissan,1.0
Juke,20650,1L N-Connecta DIG-T,2978,Automatic,Black,5 door SUV,1L,Nissan,1.0
CLA Class,20600,1.6L AMG Line CLA180,30142,Automatic,White,5 door Estate,1.6L,Mercedes-Benz,4.0
Corolla,20600,1.8L Icon Tech VVT-h,16294,Automatic,Silver,5 door Hatchback,1.8L,Toyota,3.0
3008,20600,2L Allure BlueHDi,28279,Automatic,Grey,5 door SUV,2L,Peugeot,3.0
A Class,20600,1.5L Sport A180d,35180,Automatic,Black,5 door Hatchback,1.5L,Mercedes-Benz,4.0
Tiguan,20600,2L SEL TDI,37753,Automatic,White,5 door SUV,2L,Volkswagen,4.0
A5,20600,1.4L S line TFSI,43284,Automatic,Blue,5 door Hatchback,1.4L,Audi,4.0
Polo,20600,2L GTI+ TSI,17026,Automatic,White,5 door Hatchback,2L,Volkswagen,2.0
Leon,20600,2L Cupra 290 TSI,33385,Automatic,Blue,5 door Hatchback,2L,Seat,3.0
Range Rover Evoque,20600,2L SE Tech TD4,39624,Automatic,Other,5 door SUV,2L,Land Rover,5.0
GLA Class,20600,1.6L SE GLA200,33583,Automatic,Red,5 door SUV,1.6L,Mercedes-Benz,3.0
CX-5,20550,2L Sport Nav+ SKYACTIV-G,25650,Manual,White,5 door SUV,2L,Mazda,3.0
Niro,20550,1.6L 2 h GDi,14865,Automatic,Grey,5 door SUV,1.6L,Kia,3.0
Golf,20550,2L R-Line TDI,30097,Automatic,White,5 door Hatchback,2L,Volkswagen,3.0
2 Series,20550,1.5L M Sport 218i,4482,Manual,White,2 door Convertible,1.5L,BMW,4.0
XE,20550,2L Portfolio i,24476,Automatic,Blue,4 door Saloon,2L,Jaguar,4.0
X-Trail,20550,1.6L Tekna dCi,25134,Automatic,Green,5 door SUV,1.6L,Nissan,4.0
Optima,20550,1.6L GT-Line S CRDi,24148,Automatic,Black,5 door Estate,1.6L,Kia,3.0
5 Series,20550,2L SE 520d,50853,Automatic,Black,4 door Saloon,2L,BMW,3.0
A1,20550,1L S line TFSI,8514,Manual,Black,5 door Hatchback,1L,Audi,3.0
2 Series,20550,1.5L M Sport 218i,8626,Manual,Black,2 door Coupe,1.5L,BMW,2.0
Passat,20550,1.4L GTE Advance TSI,48233,Automatic,Grey,4 door Saloon,1.4L,Volkswagen,4.0
3 Series,20550,2L M Sport 330e,30049,Automatic,Blue,4 door Saloon,2L,BMW,4.0
E Class,20550,2L SE E220d,42363,Automatic,White,4 door Saloon,1.9L,Mercedes-Benz,6.0
A Class,20550,2.1L AMG Line A200d,23200,Automatic,Red,5 door Hatchback,2.1L,Mercedes-Benz,4.0
A5,20550,2L S line TFSI,43688,Automatic,Black,5 door Hatchback,2L,Audi,4.0
TUCSON,20550,1.6L Premium SE T-GDi,42599,Automatic,White,5 door SUV,1.6L,Hyundai,3.0
A Class,20550,1.5L AMG Line A180d,22321,Automatic,Red,5 door Hatchback,1.5L,Mercedes-Benz,4.0
Golf,20550,2L GTD TDI,32561,Automatic,Silver,5 door Hatchback,2L,Volkswagen,4.0
A1,20550,1L S line TFSI,11525,Manual,Blue,5 door Hatchback,1L,Audi,2.0
C-HR,20550,1.8L Design VVT-h,31145,Automatic,Silver,5 door SUV,1.8L,Toyota,3.0
E-PACE,20500,2L S D150,47314,Manual,White,5 door SUV,2L,Jaguar,4.0
Niro,20500,1.6L 2 h GDi,15497,Automatic,Blue,5 door SUV,1.6L,Kia,3.0
GLA Class,20500,1.6L Urban Edition GLA180,23433,Manual,Grey,5 door SUV,1.6L,Mercedes-Benz,4.0
C-HR,20500,1.8L Dynamic VVT-h,50370,Automatic,White,5 door SUV,1.8L,Toyota,3.0
TT,20500,1.8L Black Edition TFSI,24343,Manual,Grey,3 door Coupe,1.8L,Audi,5.0
2 Series,20500,1.5L M Sport 218i,13505,Manual,Blue,2 door Coupe,1.5L,BMW,3.0
Golf,20500,2L GTD TDI,25944,Manual,Silver,5 door Hatchback,2L,Volkswagen,4.0
Range Rover Evoque,20500,2L SE eD4,37363,Manual,White,5 door SUV,2L,Land Rover,4.0
Edge,20500,2L Titanium TDCi,26998,Automatic,Black,5 door SUV,2L,Ford,5.0
A3,20500,1.5L S line CoD TFSI,15600,Automatic,White,4 door Saloon,1.5L,Audi,4.0
Focus,20500,1.5L ST-Line X EcoBlue,14418,Manual,Silver,5 door Hatchback,1.5L,Ford,1.0
A Class,20500,1.3L AMG Line A200,41050,Automatic,White,5 door Hatchback,1.3L,Mercedes-Benz,3.0
C Class,20500,2.1L AMG Line C220d,24770,Automatic,Silver,4 door Saloon,2.1L,Mercedes-Benz,5.0
Q2,20500,1.4L S line CoD TFSI,4347,Automatic,Red,5 door SUV,1.4L,Audi,5.0
V90,20500,2L R-Design D4,46649,Automatic,Grey,5 door Estate,2L,Volvo,4.0
1 Series,20500,3L M140i,28249,Automatic,Black,5 door Hatchback,3L,BMW,5.0
TUCSON,20450,1.6L Premium SE T-GDi,51765,Automatic,Grey,5 door SUV,1.6L,Hyundai,3.0
A3,20450,1.5L S line CoD TFSI,11945,Manual,Grey,5 door Hatchback,1.5L,Audi,4.0
C Class,20450,2.1L Sport C220d,29464,Automatic,Black,4 door Saloon,2.1L,Mercedes-Benz,5.0
Range Rover Evoque,20450,2L SE eD4,39790,Manual,Black,5 door SUV,2L,Land Rover,4.0
Outlander,20450,2L 4 MIVEC,37189,Automatic,Blue,5 door SUV,2L,Mitsubishi,3.0
i3,20450,21.6kWh,45809,Automatic,White,4 door Hatchback,Electric,BMW,4.0
2 Series,20450,2L M Sport 225d,36325,Automatic,White,2 door Coupe,2L,BMW,5.0
Focus,20450,1L Titanium X Edition EcoBoost MHEV T,10522,Manual,Grey,5 door Hatchback,1L,Ford,1.0
Golf,20450,2L GTD TDI,25748,Manual,Silver,5 door Hatchback,2L,Volkswagen,4.0
Tiguan,20450,1.5L SE Navigation TSI EVO,20465,Manual,Black,5 door SUV,1.5L,Volkswagen,3.0
A1,20450,1L S line TFSI,9513,Manual,White,5 door Hatchback,1L,Audi,2.0
3 Series,20450,2L SE 320d,20717,Manual,Black,4 door Saloon,2L,BMW,3.0
i3,20450,0.6L ,14439,Automatic,Silver,4 door Hatchback,Electric,BMW,6.0
CX-5,20450,2L Sport Nav+ SKYACTIV-G,14924,Manual,Blue,5 door SUV,2L,Mazda,3.0
Q2,20450,1.5L Sport CoD TFSI,9952,Automatic,Blue,5 door SUV,1.5L,Audi,3.0
Leaf,20450,Tekna,23787,Automatic,Red,5 door Hatchback,Electric,Nissan,4.0
A Class,20400,1.3L SE A180,16253,Automatic,White,5 door Hatchback,1.3L,Mercedes-Benz,3.0
Galaxy,20400,2L Titanium X TDCi,53186,Automatic,Black,5 door MPV,2L,Ford,4.0
2 Series Gran Tourer,20400,2L Sport 220d,12001,Automatic,White,5 door MPV,2L,BMW,4.0
A4,20400,1.4L Black Edition TFSI,30504,Automatic,Black,4 door Saloon,1.4L,Audi,4.0
Q2,20400,1L Sport TFSI,3519,Manual,Red,5 door SUV,1L,Audi,2.0
Range Rover Evoque,20400,2L SE Tech TD4,55196,Automatic,Other,5 door SUV,2L,Land Rover,5.0
2 Series,20400,3L M235i,42831,Automatic,White,2 door Coupe,3L,BMW,6.0
Edge,20400,2L Sport TDCi,47790,Automatic,Black,5 door SUV,2L,Ford,5.0
CX-5,20400,2L Sport Nav+ SKYACTIV-G,17354,Manual,Blue,5 door SUV,2L,Mazda,3.0
Golf,20400,2L GTD TDI,36921,Automatic,Silver,5 door Hatchback,2L,Volkswagen,4.0
A Class,20400,1.3L Sport A180,26360,Manual,Grey,5 door Hatchback,1.3L,Mercedes-Benz,3.0
Grandland X,20400,1.2L Elite Nav Turbo,15108,Automatic,Grey,5 door SUV,1.2L,Vauxhall,1.0
Combo Life,20400,1.2L Elite Turbo,21113,Automatic,Blue,5 door MPV,1.2L,Vauxhall,1.0
Ceed,20350,1.4L First Edition T-GDi,7246,Automatic,Black,5 door Estate,1.4L,Kia,3.0
Kuga,20350,2L ST-Line X TDCi,27693,Automatic,Silver,5 door SUV,2L,Ford,4.0
Puma,20350,1L Titanium EcoBoost T,29398,Automatic,Black,5 door SUV,1L,Ford,1.0
Range Rover Evoque,20350,2L SE Tech eD4,44863,Manual,White,5 door SUV,2L,Land Rover,4.0
Qashqai,20350,1.3L Acenta Premium DIG-T,6163,Automatic,Grey,5 door SUV,1.3L,Nissan,2.0
E Class,20350,2L SE E220d,40888,Automatic,Blue,4 door Saloon,1.9L,Mercedes-Benz,5.0
C Class,20350,2.1L AMG Line C220d,27224,Automatic,Silver,4 door Saloon,2.1L,Mercedes-Benz,4.0
1 Series,20350,1.5L M Sport Shadow Edition 118i,21444,Automatic,Black,5 door Hatchback,1.5L,BMW,3.0
Range Rover Evoque,20350,2L SE eD4,33267,Manual,Black,5 door SUV,2L,Land Rover,4.0
A Class,20350,1.3L AMG Line A180,8481,Manual,White,5 door Hatchback,1.3L,Mercedes-Benz,3.0
A3,20350,1.5L Black Edition CoD TFSI,14241,Manual,Red,5 door Hatchback,1.5L,Audi,4.0
A Class,20350,1.3L AMG Line A180,23960,Manual,White,5 door Hatchback,1.3L,Mercedes-Benz,3.0
Golf,20350,1.5L Match Edition TSI EVO,11046,Automatic,Black,5 door Estate,1.5L,Volkswagen,2.0
2 Series Gran Tourer,20350,2L M Sport 220i,20906,Automatic,Blue,5 door SUV,2L,BMW,4.0
3 Series,20350,2L M Sport Shadow Edition 320d,19426,Manual,Black,5 door Estate,2L,BMW,5.0
C Class,20350,2.1L AMG Line C220d,44472,Automatic,Blue,5 door Estate,2.1L,Mercedes-Benz,4.0
5008,20300,1.2L Active PureTech,23465,Manual,Grey,5 door SUV,1.2L,Peugeot,4.0
A Class,20300,1.5L Sport A180d,28955,Automatic,Silver,5 door Hatchback,1.5L,Mercedes-Benz,4.0
C-HR,20300,1.8L Icon VVT-h,18214,Automatic,Blue,5 door SUV,1.8L,Toyota,3.0
Yaris,20300,1.5L Design VVT-h,12207,Automatic,Red,5 door Hatchback,1.5L,Toyota,2.0
A Class,20300,1.3L AMG Line A180,17754,Manual,White,5 door Hatchback,1.3L,Mercedes-Benz,3.0
X1,20300,2L xLine 20i,40947,Automatic,Other,5 door SUV,2L,BMW,4.0
X1,20300,2L SE 20i,11278,Automatic,Grey,5 door SUV,2L,BMW,3.0
4 Series Gran Coupe,20300,2L M Sport 420i,42721,Automatic,White,5 door Coupe,2L,BMW,4.0
Qashqai,20300,1.5L Tekna dCi,11874,Automatic,White,5 door SUV,1.5L,Nissan,3.0
XC60,20300,2L SE Nav D4,17783,Automatic,Silver,5 door SUV,2L,Volvo,5.0
Golf,20300,1.5L R-Line TSI EVO,11131,Automatic,Silver,5 door Hatchback,1.5L,Volkswagen,4.0
2008,20300,1.2L Allure PureTech,5160,Automatic,Orange,5 door SUV,1.2L,Peugeot,2.0
595,20300,1.4L Competizione 70th T-Jet,6343,Manual,Other,3 door Hatchback,1.4L,Abarth,1.0
T-Roc,20300,1.5L SE TSI EVO,29170,Automatic,Blue,5 door SUV,1.5L,Volkswagen,3.0
Range Rover Evoque,20300,2L HSE Dynamic TD4,61692,Automatic,Blue,5 door SUV,2L,Land Rover,6.0
TUCSON,20250,1.6L SE Nav GDi,8157,Manual,White,5 door SUV,1.6L,Hyundai,2.0
Golf,20250,2L GTI BlueMotion Tech TSI,29566,Manual,Red,5 door Hatchback,2L,Volkswagen,5.0
124 Spider,20250,1.4L MultiAir,23394,Manual,Red,2 door Convertible,1.4L,Abarth,4.0
A1,20250,1L S line TFSI,17240,Manual,White,5 door Hatchback,1L,Audi,3.0
1 Series,20250,1.5L M Sport Shadow Edition 118i,24510,Automatic,Blue,5 door Hatchback,1.5L,BMW,3.0
CX-5,20250,2.2L Sport Nav+ SKYACTIV-D,19654,Manual,Grey,5 door SUV,2.2L,Mazda,3.0
A3,20250,1.5L Sport CoD TFSI,4673,Automatic,Grey,5 door Hatchback,1.5L,Audi,3.0
A Class,20250,1.5L Sport A180d,18020,Automatic,Silver,5 door Hatchback,1.5L,Mercedes-Benz,4.0
A Class,20250,1.3L SE A180,3424,Automatic,Red,5 door Hatchback,1.3L,Mercedes-Benz,3.0
1 Series,20250,3L M135i,21792,Automatic,White,5 door Hatchback,3L,BMW,6.0
Corolla,20250,1.8L Design VVT-h,13992,Automatic,Black,5 door Hatchback,1.8L,Toyota,3.0
Focus,20250,1L Vignale EcoBoost T,7047,Manual,Red,5 door Hatchback,1L,Ford,2.0
Tiguan,20200,2L SEL TDI,30005,Manual,Grey,5 door SUV,2L,Volkswagen,4.0
TUCSON,20200,1.6L N Line T-GDi,23896,Manual,Red,5 door SUV,1.6L,Hyundai,2.0
Range Rover Evoque,20200,2L SE TD4,54850,Automatic,Red,5 door SUV,2L,Land Rover,5.0
3008,20200,1.2L GT Line PureTech,17209,Manual,Black,5 door SUV,1.2L,Peugeot,3.0
GLA Class,20200,2.1L AMG Line GLA200d,22851,Automatic,Black,5 door SUV,2.1L,Mercedes-Benz,5.0
CX-5,20200,2.2L Sport Nav+ SKYACTIV-D,38094,Automatic,White,5 door SUV,2.2L,Mazda,3.0
CLA Class,20200,1.6L AMG Line CLA180,47289,Automatic,Black,4 door Saloon,1.6L,Mercedes-Benz,4.0
GLA Class,20200,1.6L Urban Edition GLA180,31700,Manual,Red,5 door SUV,1.6L,Mercedes-Benz,3.0
S5,20200,3L Black Edition TFSI V6,43325,Automatic,White,5 door Hatchback,3L,Audi,6.0
B Class,20200,1.3L Sport B180,8331,Automatic,Blue,5 door MPV,1.3L,Mercedes-Benz,3.0
GLA Class,20200,1.6L Urban Edition GLA180,30059,Manual,White,5 door SUV,1.6L,Mercedes-Benz,3.0
Optima,20200,2L h GDi,29239,Automatic,Black,5 door Estate,2L,Kia,4.0
Sportage,20150,1.6L GT-Line T-GDi,26300,Manual,Blue,5 door SUV,1.6L,Kia,2.0
Mazda3,20150,2L GT Sport Tech MHEV SKYACTIV-X,22867,Automatic,Grey,5 door Hatchback,2L,Mazda,3.0
Q5,20150,2L S line Plus TDI,50039,Automatic,Grey,5 door SUV,2L,Audi,6.0
Focus,20150,2L ST-3 EcoBoost T,9300,Manual,White,5 door Hatchback,2L,Ford,5.0
CLA Class,20150,1.6L AMG Line CLA180,32474,Manual,White,4 door Saloon,1.6L,Mercedes-Benz,4.0
Golf,20150,2L GTD TDI,28530,Manual,Black,5 door Hatchback,2L,Volkswagen,4.0
Golf,20150,2L GTI BlueMotion Tech TSI,28981,Manual,Black,5 door Hatchback,2L,Volkswagen,5.0
Golf,20150,2L GTI TSI,34633,Manual,Other,5 door Hatchback,2L,Volkswagen,4.0
A Class,20150,1.5L AMG Line A180d,41726,Automatic,Grey,5 door Hatchback,1.5L,Mercedes-Benz,3.0
Tiguan,20100,2L SEL TDI,32885,Manual,Grey,5 door SUV,2L,Volkswagen,4.0
A3,20100,1L Technik TFSI,29757,Manual,Red,5 door Hatchback,1L,Audi,2.0
Sportage,20100,1.6L 2 CRDi,16072,Automatic,Grey,5 door SUV,1.6L,Kia,3.0
C Class,20100,2.1L AMG Line C220d,34889,Automatic,Silver,4 door Saloon,2.1L,Mercedes-Benz,4.0
5 Series,20100,2L M Sport 525d,82240,Automatic,Black,5 door Estate,2L,BMW,4.0
Golf,20100,2L R BlueMotion Tech TSI,55372,Manual,Blue,5 door Hatchback,2L,Volkswagen,5.0
A4 Avant,20100,1.4L Black Edition TFSI,35164,Manual,White,5 door Estate,1.4L,Audi,5.0
Range Rover Evoque,20100,2L SE eD4,46834,Manual,White,5 door SUV,2L,Land Rover,4.0
Range Rover Evoque,20100,2L SE Tech eD4,28065,Manual,Grey,5 door SUV,2L,Land Rover,5.0
A Class,20100,1.3L AMG Line A180,25116,Manual,White,5 door Hatchback,1.3L,Mercedes-Benz,3.0
Leaf,20100,Tekna,40100,Automatic,Black,5 door Hatchback,Electric,Nissan,4.0
Hatch,20100,2L Cooper S Sport,18888,Automatic,White,3 door Hatchback,2L,Mini,3.0
3008,20100,1.2L Allure PureTech,23774,Automatic,Other,5 door SUV,1.2L,Peugeot,3.0
E-PACE,20100,2L R-Dynamic S D150,67905,Manual,Black,5 door SUV,2L,Jaguar,3.0
NX 300h,20100,2.5L Luxury,63507,Automatic,Red,5 door SUV,2.5L,Lexus,6.0
S90,20100,2L R-Design D4,27460,Automatic,Grey,4 door Saloon,2L,Volvo,4.0
Golf,20100,1.5L R-Line TSI EVO,29844,Automatic,Blue,5 door Hatchback,1.5L,Volkswagen,3.0
Sportage,20100,1.6L GT-Line T-GDi,26721,Automatic,White,5 door SUV,1.6L,Kia,3.0
3008,20100,1.5L Allure BlueHDi,13270,Manual,Grey,5 door SUV,1.5L,Peugeot,2.0
A Class,20100,1.3L AMG Line A200,68257,Automatic,White,5 door Hatchback,1.3L,Mercedes-Benz,4.0
A6 Saloon,20100,1.8L Black Edition TFSI,26660,Automatic,Black,4 door Saloon,1.8L,Audi,4.0
Ceed,20050,1.6L GT T-GDi,15901,Manual,Black,5 door Hatchback,1.6L,Kia,3.0
Focus,20050,1L Titanium EcoBoost T,4035,Automatic,Red,5 door Hatchback,1L,Ford,1.0
Range Rover Evoque,20050,2L SE eD4,48242,Manual,Grey,5 door SUV,2L,Land Rover,4.0
Tiguan,20050,2L SEL BlueMotion Tech TDI,19361,Manual,Silver,5 door SUV,2L,Volkswagen,5.0
GLA Class,20050,1.6L Urban Edition GLA180,30410,Manual,Grey,5 door SUV,1.6L,Mercedes-Benz,3.0
Tiguan,20050,2L SEL TDI,25781,Automatic,White,5 door SUV,2L,Volkswagen,5.0
Focus,20050,1.5L ST-Line X EcoBoost T,16532,Manual,Blue,5 door Hatchback,1.5L,Ford,2.0
Sportage,20050,1.6L GT-Line T-GDi,6256,Manual,Grey,5 door SUV,1.6L,Kia,2.0
A Class,20000,1.3L AMG Line A180,28697,Manual,Red,5 door Hatchback,1.3L,Mercedes-Benz,3.0
Civic,20000,1L SR VTEC Turbo,13797,Manual,White,5 door Hatchback,1L,Honda,1.0
TT,20000,2L Sport TFSI,27022,Automatic,Black,3 door Coupe,2L,Audi,5.0
3008,20000,2L GT BlueHDi,56145,Automatic,Red,5 door SUV,2L,Peugeot,4.0
